序号,车名,评分,购买地点,购买时间,购买价格,油耗+里程,序号2,列1,空间,动力,操控,油耗,舒适性,外观,内饰,性价比,购车目的,口碑,质量,追评
9559,昂科威                        2017款 28T 四驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",武汉,2016/12/1,25.00万元,12.5升/百公里2100公里,9559,4,4,5,4,3,4,4,5,5,自驾游,                                        口碑                &nbsp;2016年12月18日 发表了口碑                                来自：汽车之家Android版                                                    《动力表现非常满意，开起来也比较舒服。油耗偏高，性价比不错。》                        【最满意】动力，内饰【最不满意】副驾不是电动调节的，后排中间位置坐的难受。【空间】乘坐空间：空间绝对足够，不管前排还是后排。特别是后排空间，非常满意放行李：行李箱和汉兰达，途观比起来小多了。不过一般家用足够乘坐空间：空间绝对足够，不管前排还是后排。特别是后排空间，非常满意放行李：行李箱和汉兰达，途观比起来小多了。不过一般家用足够【动力】动力表现方面很出色，开起来很自信【操控】操控不动，反正盘子很轻，好上手【油耗】有好偏高，但是有这个动力和车的厚重感也觉的没大的问题【舒适性】还蛮舒服的，除了后排中间位置，没有靠枕，同时后排中间偏硬。【外观】内饰同级别，同价位的应该可以说是最良心的了，外观也还蛮大气的。总体来说不失体面【内饰】【性价比】性价比应该可以进前三【为什么选择这款车】看中了楼兰，做了很长时间的挣扎。最终原则这款车的原因是老婆喜欢，同时了解到保有量比楼兰高出不止一点点，大家都不傻，我也不想冒险。            ,,
8108,昂科威                        2016款 20T 两驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",金华,2016/9/1,22.00万元,9.1升/百公里4000公里,8108,4.5,5,3,5,5,5,5,5,5,上下班,口碑                &nbsp;2016年12月23日 发表了口碑                                来自：汽车之家Android版                                                    《整体来说比较适合自己，上班族家用又不是特别越野满足了开车视野》                                                                                                                                                                                                                                                                                                                        【最满意】价格公道，车又不错【最不满意】顿挫顿挫顿挫【空间】非常宽敞乘坐空间：空间非常给力，20来万来说基本就他了，别的合资车还真选不出储物空间：空间使用率很高，该有的都有了，就是后背箱太小，这么大的车实在不应该全家出游时：郊外还是比较舒适，市区就是个乌龟，只能跟着别人走放行李：后备箱有点挤还是，真的放不了很多出远门的话，不过取物还是比较方便，精英版女孩关后备箱就比较累，太高横向对比：同价位性价比最高，我认为，大众不知道哪来的那种傲气，4s店牛逼死了，钱是自己的就不叼你，福特确实不错，就是内饰实在太乞丐，论舒适也就昂科威了顿挫：有这方面的纠结的就不要考虑入手了，是不能避免的，如果开车温柔点还是不大有感觉的【动力】都跑不过以前的飞度，40码以后的动力很给力，前段1.5t就不要太奢望动力平顺性：低速顿挫无法避免，激烈驾驶顿挫感更明显，40码以上就比较好了跑高速：跑高速还是比较爽的，超车不费劲，关键是真的比较舒适，商务车的感觉【操控】so esay，比较容易上手，就是第一次开就是容易一蹿一蹿的，控制不好，开个一段路马上就能适应，主要还是看个人开车经验和脚感，指向比较精准【油耗】4000公里，一半高速，一半市区9.1油耗，表示满意，基本属于正常油耗，主要还是要开的稳，不要急，城市道路不要大脚【舒适性】满意非常满意，除了顿挫，属于商务类型的感觉，开车的视野也比较舒服。【外观】反正我喜欢，偏商务，说不上越野，大块头，一看就让人安心【内饰】非常有面，还没有异味，皮质的搭配也比较美观舒适，按键的回馈也比较好【性价比】那是一个高，哈哈，没话说，可以说用日韩的价格买个猛男，只限于感觉的猛男。【为什么选择这款车】本来是日韩城市越野可是老婆不愿，大众实在太装逼，豪车买不起，福特内饰一塌糊涂，还是别克比较中立,,
9574,昂科威                        2017款 28T 四驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",,2016/12/1,24.89万元,12.0升/百公里300公里,9574,4.5,5,5,5,3,5,5,5,5,上下班购物自驾游跑长途,口碑                &nbsp;2017年01月11日 发表了口碑                                                                                    《空间大，动力好》                                                                                                                                                                                                                                                        【最满意】后排空间大，全景天窗够亮。外形很喜欢。【最不满意】后排车门储物放瓶水，很不喜欢。中央扶手箱两边同时打开，有时候需要开起单边，还得全打开，在关了另外一边。【空间】最满意的就是动力储备。2.0T这款发动机参数非常好看，动力储备十分够用，每次开起昂科威，想超车就超车，想加速就加速，到目前为止，从来没有动力不够用的迹象。跑过好几次高速，第一次是我堂弟开车，那时候我还是实习期，一开始他开的斯文，后来我在车上睡着了，等我醒了，他跟我炫耀说，刚才车开到160码，一点也不飘，还能再加速，但是他不太敢了，我偷笑了，哈哈。后来还有一次，我拉了很多行李回家，过磅的时候显示2.15吨，一开始以为行李多，开起来故意慢慢的，后来开时间长了，发现这动力一点变化都没有，120码超速妥妥的，还开到过150码，一路超了不少车，当然，150码也不是我开的，我开车向来斯文。这动力，不服不行！乘坐空间：乘坐空间，一般情况，都是很宽敞的，家里也没那个特别高。【动力】加速表现：推背感很惊喜，坡道超车很爽。平路上轻轻给油，动力就来。加速表现：推背感很惊喜，坡道超车很爽。平路上轻轻给油，动力就来。【操控】山路：回老家跑山路比较多，弯度大的地方，操控很好。山路：回老家跑山路比较多，弯度大的地方，操控很好。【油耗】城市路段表现：县城油耗相对高啊，应该是堵车的原因吧，跑国道都没高得油耗。城市路段表现：县城油耗相对高啊，应该是堵车的原因吧，跑国道都没高得油耗。【舒适性】空调：冬天升温挺快的，特别是远程启动，可以提前预热。夏天还没试过。空调：冬天升温挺快的，特别是远程启动，可以提前预热。夏天还没试过。【外观】车灯设计：日行灯不是很喜欢，还不如将雾灯边框的两条进行改装。车灯设计：日行灯不是很喜欢，还不如将雾灯边框的两条进行改装。【内饰】同价位的车，内饰算是相当的好了。【性价比】标配配置：陡坡辅助很不错，很不会溜车。自动感光也不好用，已经进行了改装。标配配置：陡坡辅助很不错，很不会溜车。自动感光也不好用，已经进行了改装。【为什么选择这款车】对比了同价位的几款车，一是动力充足，二是后排空间相当大，外出什么的，比较方便，考虑过大众途观，因为家里人有人已经提了，就考虑了昂科威。,,
10101,昂科威                        2018款 28T 四驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",南昌,2018/12/1,20.69万元,11.6升/百公里210公里,10101,4.25,5,5,4,3,5,5,5,5,上下班,                                        口碑                &nbsp;2018年12月29日 发表了口碑                                来自：汽车之家Android版                                                    《提车4天对比老车的感觉》                                                                                                                                                                                                                                                                                                                        【最满意】动力和空间，比起老车骐达，2.0的动力强的不止一点点，加速只要舍得给油门，空间其实也就比骐达宽一些，后备箱比老车大的多！【最不满意】油耗，怎么小心翼翼，油耗都居高不下！300块钱用去一大半，只跑了200公里，目测，300只能跑个380公里！【空间】我家四大带两小，一点问题没有！【动力】没的说，很足！【操控】感觉这个助力有点轻！【油耗】11.6，不吐槽了，看绿本上写的总重量2260Kg，这油耗没法下去了！【舒适性】还行，对比老骐达，要好很多，特别腰部支撑很好用！【外观】看的顺眼！【内饰】沉稳！【性价比】预算本来是30的，后面优惠一出剩点钱自用！【为什么选择这款车】优惠力度大！换车的需求！            ,,
10028,昂科威                        2018款 28T 四驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",扬州,2018/3/1,23.00万元,9.2升/百公里500公里,10028,4.75,5,5,5,4,5,5,5,5,上下班自驾游跑长途,口碑                &nbsp;2018年04月23日 发表了口碑                                来自：汽车之家iPhone版                                                    《强者自强-用车一月感受》                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                【最满意】其实自己关注昂科威也有一段时间了、从17款到18跨，现在变速箱改成9速变速箱，换挡更加平顺了、不说其他的、就是喜欢它的空间和内饰！同级别中性价比最高！【最不满意】暂时还没、别人说别克油耗高，因为我是正常跑扬州和泰州、油耗也在我的接受范围呢！所以说不满意的还真没有！【空间】作为一个五座SUV，空间在用界别中属于中等，但也够自己用了、毕竟平实都是自己一个人开！最满意的是后排中间没有供起来的，纯平地板，就更加喜欢了！不说了上图！                                                                    副驾驶空间不错！                            乘坐空间：本人180cm、160斤，在前排座位调成合适的距离、后排还有1-2拳的空间、后排地板还是纯平的！大爱！放行李：后备箱空间满足个人平实家用，出行需求！自己平时也不怎么放、估计就逢年过节有点需要！                                                                    后备箱、还是蛮大的！                            【动力】这款车是2.0T涡轮增压发动机，听销售说马力可以达到280马力左右、加速很快、配备的是9速变速箱，之前有很多人说17款6速变速箱顿挫感比较大，但是这款9速的换挡真的很平顺、加速推背感也很强！                                                                    最喜欢这个角度！嘿嘿                            【操控】昂科威的方向盘还是很轻巧的、只哪里打哪里，没有一点虚伪，而且女性朋友也轻松，等有女朋友、女朋友开起来也不费力，90还没女朋友，有点拖后腿了！【油耗】从提车到现在1个月多点、还没怎么开、开了大概500公里不到、仪表盘上显示9.2L/100km、在自己接受范围内、朋友的途观还开到11L/100km！也许是自己开的2趟高速原因吧！朋友说如果你纯开市区的话估计要11超过、但是一想车还那么大呢、所以油耗的话也可以接受、但是还是想能低点酒更好了！毕竟一年下来还能省点油呢！【舒适性】昂科威是多连杆的后独立悬挂、舒适性还是不错的，而且跑高速静音很好、当时销售给我说这款车配备什么ANC主动降噪，说可以喇叭发出来的声波可以抵消噪音的声波、以此来起到静音效果、但是还以为是忽悠呢、确实跑高速静音效果棒棒的！                                                                    后排座椅、带中央扶手！要是中间多个头枕就好了！                            座椅舒适性：座椅是全皮的、原来17款是中间反的、还是喜欢17款内饰！【外观】外形的话、昂科威走的是美系车的赶脚、自己也是喜欢！不说了、前脸比老款有变化、和大众学了、套娃了！嘿嘿！车的腰线还是不错的，上图给大家看看！                                                                    侧面44度、大灯犀利！                                                                                                19寸大脚！升级了！棒棒的！                                                                                                再来张右侧45度！看看这个灯、更老鹰的眼睛一样炯炯有神！                            【内饰】内饰是深酒红的，个人不喜欢一抹黑的内饰、所以还是正中自己下怀！就是要简洁大方、内饰看起来豪华！上图！                                                                    主驾驶测、带电动调节和折叠后视镜！                                                                                                前排整个布局还是棒棒的！中控这块简洁好区分！                                                                                                仪表盘、就是没有高配的纯液晶、那样就更棒了！                            仪表中控：仪表盘还是很不错的、什么胎压监测、百公里加速、油耗、机油使用寿命...都能看到！而且是多功能方向盘、对于我们爱听歌的人来说，棒棒的、大大提升驾驶安全！                                                                    扶手箱的空间也是棒棒的                                                                                                彩色字体、漂亮！                                                                                                感觉是不是高大上、像豪华车的感觉！                            【性价比】这款车在同级别中表现的是相当不错、铜价格的，它的配置比别人高、同配置的它的价格比别人低！所以这就是自己大爱的原因！期待的配置：期待28T精英配备28T豪华上面的智慧安全、比如什么行人保护、车道保持等等！【为什么选择这款车】当时自己才开始准备买车的时候，基本20-30万之间的车都看过，途观-和昂科威竞争对手，但是途观L价格有点高、途观丝绸之路自己又不喜欢，所以直接pass了！然后看过JEEP，感觉内饰不是自己喜欢、外观还是不错，所以也被淘汰了！最后看的是通用旗下的雪弗兰探界者，价格比昂科威低，最后因为从大学到现在就是不喜欢那个标，而且父母也说，你自己钱不够我们帮你垫，所以最后直接选择昂科威了！昂科威从第一眼看它就喜欢了，因为本人90后，还是喜欢肌肉感强点的车型，而且作为90后肯定喜欢配置高，内饰豪华的，昂科威正好满足自己！最后说下动力、2.0T涡轮增压发动机配备9速变速箱，动力杠杠的、只要肯给油、加速超车棒棒的！,,
8990,昂科威                        2017款 20T 两驱豪华型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",绵阳,2017/4/1,21.79万元,8.8升/百公里2020公里,8990,4.25,4,4,4,5,4,5,5,5,上下班购物接送小孩自驾游,口碑                &nbsp;2017年05月19日 发表了口碑                                来自：汽车之家Android版                                                    《隔音不错，动力尚可，内饰豪华，油耗相当棒》                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                【最满意】一个是隔音，相当棒，配合主动降噪功能，身边朋友们都说好。 另一个就是油耗表现了，我绝大部分跑市内，平均速度22左右，1.61吨的车身自重，油耗居然还能控制在9个以内我十分满意，如果上高速按110来定速巡航，我估计百公里六个油应该压力不大吧。 还有这车二挡以后的提速表现也挺不错的，1.5T动力169匹马力，现在来说在家用车里算中等偏上。超个车问题不大。动力在家用来说绝对够了，哈哈。 外观饱满圆润，稍稍偏稳重。个人觉得很适合35以上人群。【最不满意】呵呵，一说最不满意都知道吧，感觉论坛，群里都在谈论昂科威1.5 T配的这款干式双离合变速箱，吐槽的相当多。就我目前2000多公里的使用感受来说，顿挫和咔咔声肯定有，但还在我能接受的范围之内。在特定路况下顿挫会出现的，比如上坡过程中遇到堵车速度慢了，看着要停下来结果又要走，在你加油的一瞬间刚刚好遇到变速箱降档，那恭喜，顿挫来了。平路完全没遇到过。【空间】本人升高172，调整好驾驶位置，后排空间能翘二郎腿，中间又是纯平的。虽然比不过冠道等SUV，但一味的追求大也不是好事吧，你要考虑停车位宽度，要考虑行驶过程中的灵巧性。综合原因我选择了昂科威，两个字，够用就行。后备箱的空间对我来说小了点，辛亏后排是可以向前移动的。【动力】动力家用足够，二挡以后还是很给力的，正常超车都没问题，而且涡轮的介入感很小，满意【操控】150以内稳稳的没毛病，方向盘指向精确，可以用沉稳两个字来形容。山路：山路如果一直漫弯多，这时候总是自动切换档位，会感觉有点不给力，建议根据路况用L档来限制档位，以达到提升转速提高动力的目的。【油耗】目前2020公里油耗8.8，几乎城市路况，平均速度只有22，相当不错的说。很满意哈哈。【舒适性】悬架整体调教的挺不错，一般的小坑洼路面都能悄悄过滤掉，有点不满意的就是后悬挂，可能是厂家考虑到车身的行驶稳定性，调教的有点太硬，尤其过减速带的时候砰的一声，后排有点遭罪，硬接触的感觉。空调：空调效果相当的好，但由于排量低开空调的时候发动机负荷会加大，自然油耗就比大排量开空调差别不大的高了。【外观】外观怎么样？几十万用户都买了，说明大家相当认可的，我就觉得漂亮而不是稳重，哈哈。顺便说下双排是自己加的假尾喉，单纯追求下视觉平衡而已，不喜勿喷。【内饰】内饰是亮点，中控台面设计的相当具有豪华感，摸着也不错。相信很多人都是冲着这内饰去的吧。异味异响：新车头一周味道真心有点刺鼻，受不了。想尽各种办法来解决，我觉得最有效的是太阳下暴晒。天窗周围有点小声音不是很明显。【性价比】现在普遍三万加的优惠，性价比相当的高了吧。1.5T我强烈推荐两驱豪华型。和精英一万的差价多了副驾驶电动座椅，氙气大灯带清洗，后排可移动调节，自动泊车，前雷达，电动后备箱，氛围等等等。好多买了自己改灯改电尾好像好点的也不便宜吧。看看照片里原车氙气大灯效果，真不是一半改装能达到的【为什么选择这款车】昂科威的外观看着相当饱满圆润，同时又不失稳重，家用足够，完全符合我这年龄的需求。1.5T油耗低也是考量范围之内的。,"质量
                            2017年10月14日 发表了质量评价
                        

                    
                    
                                【在正常行驶中换挡不顺】
                                
                                        变速系统-自动挡（包括手自一体）-在正常行驶中换挡不顺
                                        变速系统-自动挡（包括手自一体）-变速箱有异响",
9002,昂科威                        2017款 20T 两驱豪华型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",武汉,2017/2/1,22.59万元,8.5升/百公里700公里,9002,4.5,5,4,5,4,5,5,5,3,上下班,口碑                &nbsp;2017年02月20日 发表了口碑                                来自：汽车之家iPhone版                                                    《这个价位的SUV感觉还是昂科威比较不错》                                                                                                                                                                                                                                                                                                                                                                                                【最满意】最满意的是全车皮质包裹不错【最不满意】当然还是离不开让人诟病的干式双离合了，开了七百公里，出现行驶中踩油门不走的现象，松油门再踩又正常，咨询其他车友，有的也出现过这种现象，说是要刷变速箱的电脑换挡逻辑程序，挂倒挡的时候也出现过踩油门不动的现象，重新挂入正常了。群里的车友们都习以为常了，看来自己也要调整好心态了！【空间】空间不错 比之前的H6差不多，家用的话完全够用，而且后排可以四六比例放倒，放个大件不成问题。【动力】既然选择了1.5的排量 就不要纠结动力如何如何了 只能说适合家用，自重一吨六左右，全员也就两吨出头，自然在加速方面慢悠悠了。【操控】跑了四百公里高速 操控性不错，合资车与自主车的差距，至少与长城的差距还是比较大的，H6的操控如何，谁开谁知道。昂科威的悬架偏硬，过减速带的减震不明显倒也是在接受范围内。【油耗】一吨六的车，差不多正常开也就八九个油吧，工信部那油耗完全是忽悠人的，不过SUV 的风阻系数大自己自身重，加上只有1.5的排量，这点油耗也算是正常的。【舒适性】全车都是真皮包裹 里面是啥样确实是看不到，摸起来里面估计是硬塑料，只有加热功能，没有通风按摩确实比较遗憾，后排的乘丙舒适性不错。【外观】这就是仁者见仁智者见智了，就像当初去看自由光一样，那两条眯眯眼，喜欢的人爱不释手，不喜欢的人趋之若鹜，当初也看中了指南者，但是由于是刚上市的新车，而且没有优惠，对比下来还是与指南者无缘了。【内饰】内饰感觉还可能，能摸到的都是软质材料，里面是啥看不到也摸不到，中间的中控屏幕比较大，用起来容易上手，总体感觉还不错！【性价比】全款下来比预算多了近一万 但还可以接受，毕竟车价放在那，不是之前十万的车可以对比的，使用了几百公里，就只有双离合变速箱有点不满意，虽然也知道这是双离合的某种缺陷，但是这一切都来的太突然了，总体来讲，二十多万的价格，性价比还是可以接受的，之前原本计划是十五万左右的车，但选来远去，总归有这有那的问题而不断的提高价码，选择了昂科威也算是一种缘分吧。而且逼格满满的电动后备箱以及比较好用的安吉星，以及可以远程上锁解锁等等功能，都是一个加分项，所以买的第二辆车比较满意！【为什么选择这款车】买这车很简单，二十多万的合资SUV 就只有途观，翼虎，途胜，昂科威等等，对比了内饰，空间，车的外形尺寸等等因素，最终选了昂科威，然后直接杀入4S店砍价，从早上开门一直谈到销售下班，虽然优惠幅度没有达到预期，但也可以接受，最重要的一点是车辆的手续在店里可以全部办齐，不用东奔西走，这点很赞！,"质量
                            2017年06月02日 发表了质量评价
                        

                    
                    
                                【故障/无法工作】
                                
                                        电子设备-电源插座/USB接口-故障/无法工作
                                
                                【换挡有延迟】
                                
                                        变速系统-自动挡（包括手自一体）-换挡有延迟",
8666,昂科威                        2016款 28T 四驱豪华型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",榆林,2016/2/1,28.79万元,10.0升/百公里2293公里,8666,4.5,5,5,4,4,5,5,5,5,上下班接送小孩自驾游,                                        口碑                &nbsp;2016年03月12日 发表了口碑                                                                                    《28t昂科威，绝对值得拥有。》                        【最满意】豪华的内饰和强劲的动力。【最不满意】没有遥控升降玻璃窗，门上的储物盒过多，反而利用价值不高。【空间】对于介于紧凑型和中型SUV的昂科威来说，这样的空间已很出色了。【动力】相对2.0点排量，拥有260马力的动力，那绝对是随心所欲，上坡，超车，轻松完成，转速在2000的时候，车速就可达130公里，只要你敢踩油门，推背感很明显。【操控】转向灵活，指向明确，刹车一般【油耗】高速和长途在8升左右，综合在10升左右，这与路况和驾驶习惯有关，因人而异。【舒适性】座椅和头枕可多向调节，加热，通风，腰垫，腿托一应齐全，扶手箱宽大，舒适性很好。【外观】传统的瀑布前脸大气饱满，尾部也厚实丰满。【内饰】最值得炫耀的就是内饰，酒红真皮座椅，手工缝线，工作台和门衬都是软包装，手感很好，仪表蓝光环抱工作台，很是豪华上档次。【性价比】个人感觉很高，在同级车中名列前茅。【为什么选择这款车】个人觉得，选车和选衣是一样的，都会选自己认为适合和喜欢的，当然一分价钱一分货，穿衣吃饭量家当，不选贵的只选对的才是遵旨。在自己可接受的范围内，尽量选动力大的，功能全的，配置高的，适应性好的，售后方便的，外观漂亮的。车和衣服最大的区别就是不是经常换的，所以选择一定要慎重，我之所以选择这款车就两个字“钟爱”。            ,,
8335,昂科威                        2016款 20T 两驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",上海,2016/1/1,22.07万元,,8335,4.5,4,4,4,5,5,4,5,5,上下班,口碑                &nbsp;2016年01月21日 发表了口碑                                                                                    《最好不过的代步工具》                        【最满意】内饰，静音【最不满意】变速箱【空间】跟其他SUV比起来，只能说一般【动力】之前开的不是高大上的宝马，所以感受是够用【操控】电子助力比我之前的车机械助力好用多了【油耗】这是绝对的赞，现在9点几，过了磨合期应当能下降点【舒适性】驾驶位没的说，赞【外观】马马虎虎【内饰】豪车也不过如此【性价比】不算最好，但也不错了【为什么选择这款车】换车了，现代的全新胜达2016款国内迟迟不上市，最后改选了这款,"质量
                            2016年12月11日 发表了质量评价
                        

                    
                    
                                【行驶过程】
                                
                                        行驶过程-车子底部异响（非刹车时）-中间
                                
                                【动力系统】
                                
                                        动力系统-发动机不易/无法启动-冷启动时
                                        动力系统-发动机不易/无法启动-热启动时",
10505,昂科威                        2020款 20T 两驱精英型,"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]",武汉,2020/10/1,15.69万元,7.0升/百公里533公里,10505,4.75,5,5,4,5,5,5,4,4,上下班,口碑                &nbsp;2020年11月08日 发表了口碑                                                                                    《一如既往的选择别克，从凯越换到昂科威》                                                                                                                                                                                                                                                        【最满意】车子的外观很吸引人，还有宽大的空间，操控性不错，方向指哪打哪【最不满意】竟然简配了，以前的仪表盘颜色是蓝色的，现在变成了白色光，有点难看。还有中控屏幕不能加装第三方软件，多功能方向盘不能调车机自带的音乐软件下一曲【空间】空间很大啊，感觉跟我们公司宝马X3差不多【动力】起步稍微有点慢，速度起来了还是很不错的，超车也还可以，只有舍得踩油门还是很好的，之前看有些人说怕动力不足，你又不是去参加赛车，家用动力足够了。【操控】方向灵活，指哪打哪，刹车有点偏软，刹车距离感觉有点长【油耗】油耗方面还是很满意的，以前开凯越车子，一公里5毛多，看有些人说昂科威的油耗吓人，开下来也才7点几升，估计都是水军吧，又想马儿跑，还不想给它喂草，没有这个道理嘛，我对油耗没有多大的纠结，公司有人经常说赶紧去加油，油价要上涨，我给他们说开的起车就不要在乎那么一两毛钱。                                                                                                                                                                                                【舒适性】舒适性还不错，车里面非常静音，比我的老凯越静音多了，唯一觉得不好的就是新车的味道太大，老婆小孩上车说要晕倒，建议在用料方面选择无味的材料。【外观】外观很满意，觉得比之前的款式好看些。加装了中网饰条瞬间高大上                                                                                                                                                                                                                                                                                                【内饰】内饰还可以，中控屏幕不能加装第三方软件，这一点不好，内饰为什么只有最顶配才有那种米黄色的【性价比】性价比对比兄弟雪佛兰探界者还是稍微逊色一些，雪佛兰1.5T顶配价格跟昂科威的1.5T中配差不多【为什么选择这款车】对比了几款车型，以前开过别克凯越，给我的感觉就是皮实,,
