车名	评分	购买地点	购买时间	购买价格	油耗+里程	序号	列1	空间	动力	操控	油耗	舒适性	外观	内饰	性价比	购车目的	Attributes	Sentences	Label
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	内饰	"['内饰副驾不是调节', '后排中间位置坐的难受。', '不管前排还是后排。', '不管前排还是后排。', '除了后排中间位置,没有靠枕,同时后排中间偏硬。', '内饰同级别,同价位的应该可以说是最良心的了']"	negative
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	电路器件	['电动调节']	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	车身空间	"['乘坐空间：空间绝对足够', '特别是后排空间', '非常满意放行李：行李箱和汉兰达,途观比起来小多了。', '不过一般家用足够乘坐空间：空间绝对足够', '特别是后排空间', '非常满意放行李：行李箱和汉兰达,途观比起来小多了。']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	动力性能	"['不过一般家用足够动力表现方面很出色,开起来很自信操控不动,反正盘子很轻,好上手有好偏高,但是有这个动力和车的厚重感也觉的没大的问题还蛮舒服的']"	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	外观设计	['外观也还蛮大气的。']	positive
昂科威                        2017款 28T 四驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	武汉	2016/12/1	25.00万元	12.5升/百公里2100公里	9559	4	4	5	4	3	4	4	5	5	自驾游	保养	"['总体来说不失体面性价比应该可以进前三看中了楼兰,做了很长时间的挣扎。']"	positive
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	车身空间	"['车又不错顿挫顿挫顿挫非常宽敞乘坐空间：空间非常给力,20来万来说基本就他了,只能跟着别人走放行李：后备箱有点挤还是,真的放不了很多出远门的话,不过取物还是比较方便,精英版女孩关后备箱就比较累', '别的合资车还真选不出储物空间：空间使用率很高,该有的都有了,就是后背箱太小,这么大的车实在不应该全家出游时：郊外还是比较舒适,市区就是个乌龟']"	positive
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	保养	"['太高横向对比：同价位性价比最高,我认为,大众不知道哪来的那种傲气,4s店牛逼死了,钱是自己的就不叼你,福特确实不错', '可以说用日韩的价格买个猛男,只限于感觉的猛男。']"	neutral
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	内饰	"['就是内饰实在太乞丐,论舒适也就昂科威了顿挫：有这方面的纠结的就不要考虑入手了,是不能避免的,如果开车温柔点还是不大有感觉的都跑不过以前的飞度', '福特内饰一塌糊涂,还是别克比较中立']"	negative
昂科威                        2016款 20T 两驱精英型	"[{""Year"":""全部在售"",""Value"":""昂科威用户评分4.51分（1758人参与）2.0T自动平均油耗8.6L/100km（3人平均值）""},{""Year"":""2022款"",""Value"":""昂科威2022款用户评分4.51分（97人参与）2.0T自动平均油耗8.5L/100km（2人平均值）""},{""Year"":""2021款"",""Value"":""昂科威2021款用户评分4.51分（1661人参与）2.0T自动平均油耗9.0L/100km（1人平均值）""}]"	金华	2016/9/1	22.00万元	9.1升/百公里4000公里	8108	4.5	5	3	5	5	5	5	5	5	上下班	动力性能	"['40码以后的动力很给力,前段1.', '5t就不要太奢望动力平顺性：低速顿挫无法避免,激烈驾驶顿挫感更明显,40码以上就比较好了跑高速：跑高速还是比较爽的,超车不费劲,关键是真的比较舒适,商务车的感觉soesay,比较容易上手,就是第一次开就是容易一蹿一蹿的,控制不好,开个一段路马上就能适应,主要还是看个人开车经验和脚感,指向比较精准4000公里,一半高速,一半市区9.']"	positive
